id,name,common_name,messier_id,caldwell_id,ra_deg,dec_deg,type,mag,size_arcmin,surface_brightness,tags
IC0010,IC0010,,,,5.072250,59.303778,galaxy,10.35,6.39,24.53,
IC0063,IC0063,,,,14.870167,60.911694,emission_nebula,13.33,6.50,,
IC0127,IC0127,,,,22.448375,-6.980056,galaxy,9.20,1.07,23.47,
IC0239,IC0239,,,,39.116167,38.969917,galaxy,11.20,4.13,23.72,
IC0284,IC0284,,,,46.541292,42.371917,galaxy,11.59,3.22,23.82,
IC0334,IC0334,,,,56.321167,76.638306,galaxy,11.50,2.09,23.06,
IC0342,IC0342,,,C5,56.702083,68.096361,galaxy,9.68,19.28,24.85,caldwell
IC0348,IC0348,omi Per Cloud,,,56.142458,32.162833,emission_nebula,,10.00,,
IC0356,IC0356,,,,61.945458,69.812444,galaxy,10.24,3.88,23.27,
IC0398,IC0398,,,,74.552333,-7.780250,galaxy,,0.76,,
IC0417,IC0417,,,,82.025000,34.423944,emission_nebula,,11.50,,
IC0422,IC0422,,,,83.077292,-17.223861,galaxy,,0.99,,
IC0433,IC0433,,,,85.130625,-11.665583,galaxy,,1.27,,
IC0434,IC0434,Flame Nebula,,,85.253667,-2.453778,emission_nebula,11.00,60.00,,
IC0438,IC0438,,,,88.250333,-17.876083,galaxy,12.07,2.31,23.70,
IC0443,IC0443,Gem A,,,94.155875,22.531667,supernova_remnant,12.00,45.00,,
IC0446,IC0446,,,,97.775750,10.459278,emission_nebula,,4.50,,
IC0447,IC0447,,,,97.751333,9.897444,emission_nebula,7.70,22.50,,
IC0448,IC0448,,,,98.188917,7.388639,emission_nebula,,12.50,,
IC0466,IC0466,,,,107.161667,-4.318000,emission_nebula,12.06,1.00,,
IC0500,IC0500,,,,123.165000,-16.050806,galaxy,,1.24,,
IC0520,IC0520,,,,133.426083,73.490944,galaxy,11.83,1.86,22.87,
IC0529,IC0529,,,,139.636667,73.759333,galaxy,12.30,2.37,23.25,
IC0672,IC0672,,,,167.013458,-12.484167,galaxy,,0.54,,
IC0749,IC0749,,,,179.641875,42.734028,galaxy,12.28,1.92,23.04,
IC0750,IC0750,,,,179.717500,42.722472,galaxy,11.82,1.56,22.73,
IC0764,IC0764,,,,182.559125,-29.736806,galaxy,12.41,2.99,23.93,
IC0983,IC0983,,,,212.518208,17.733833,galaxy,11.96,2.17,23.19,
IC1029,IC1029,,,,218.113583,49.904611,galaxy,11.29,1.61,22.01,
IC1257,IC1257,,,,261.784917,-7.093083,globular_cluster,,3.30,,
IC1274,IC1274,,,,272.462625,-23.648222,emission_nebula,,12.50,,
IC1276,IC1276,,,,272.684458,-7.207583,globular_cluster,,9.60,,
IC1283,IC1283,,,,274.320208,-19.762222,emission_nebula,,15.00,,
IC1295,IC1295,,,,283.654708,-8.827028,planetary_nebula,12.50,1.50,,
IC1308,IC1308,,,,296.271833,-14.720250,emission_nebula,,,,
IC1310,IC1310,,,,302.504083,34.968889,emission_nebula,,9.00,,
IC1330,IC1330,,,,311.562250,-14.023222,galaxy,,0.83,,
IC1340,IC1340,,,,314.034375,31.047861,supernova_remnant,,22.54,,
IC1342,IC1342,,,,315.106000,-14.495861,galaxy,,0.74,,
IC1396,IC1396,,,,324.740083,57.489056,emission_nebula,,9.00,,
IC1459,IC1459,,,,344.294208,-36.462222,galaxy,10.54,3.92,23.12,
IC1470,IC1470,,,,346.292542,60.244083,emission_nebula,11.50,1.80,,
